Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,,
2019-08-01 00:00:00+00:00,9630.6640625,9630.6640625,12273.8212890625,9421.6298828125,10077.4423828125,533984971734
2019-09-01 00:00:00+00:00,8293.8681640625,8293.8681640625,10898.76171875,7830.7587890625,9630.5927734375,480544963230
2019-10-01 00:00:00+00:00,9199.5849609375,9199.5849609375,10021.744140625,7446.98876953125,8299.720703125,595205134748
2019-11-01 00:00:00+00:00,7569.6298828125,7569.6298828125,9505.0517578125,6617.1669921875,9193.9921875,676919523650
2019-12-01 00:00:00+00:00,7193.59912109375,7193.59912109375,7743.431640625,6540.04931640625,7571.6162109375,633790373416
2020-01-01 00:00:00+00:00,9350.529296875,9350.529296875,9553.1259765625,6914.99609375,7194.89208984375,852872174496
2020-02-01 00:00:00+00:00,8599.5087890625,8599.5087890625,10457.626953125,8492.9326171875,9346.357421875,1163376492768
2020-03-01 00:00:00+00:00,6438.64453125,6438.64453125,9167.6953125,4106.98095703125,8599.7587890625,1290442059648
2020-04-01 00:00:00+00:00,8658.5537109375,8658.5537109375,9440.650390625,6202.37353515625,6437.3193359375,1156127164831
2020-05-01 00:00:00+00:00,9461.05859375,9461.05859375,9996.7431640625,8374.3232421875,8672.7822265625,1286368141507
2020-06-01 00:00:00+00:00,9137.9931640625,9137.9931640625,10199.5654296875,8975.525390625,9463.60546875,650913318680
2020-07-01 00:00:00+00:00,11323.466796875,11323.466796875,11415.8642578125,8977.015625,9145.9853515625,545813339109
2020-08-01 00:00:00+00:00,11680.8203125,11680.8203125,12359.056640625,11012.4150390625,11322.5703125,708377092130
2020-09-01 00:00:00+00:00,10784.4912109375,10784.4912109375,12067.0810546875,9916.4931640625,11679.31640625,1075949438431
2020-10-01 00:00:00+00:00,13780.9951171875,13780.9951171875,14028.2138671875,10416.689453125,10795.2548828125,1050874546086
2020-11-01 00:00:00+00:00,19625.8359375,19625.8359375,19749.263671875,13243.16015625,13780.9951171875,1093144913227
2020-12-01 00:00:00+00:00,29001.720703125,29001.720703125,29244.876953125,17619.533203125,19633.76953125,1212259707946
2021-01-01 00:00:00+00:00,33114.359375,33114.359375,41946.73828125,28722.755859375,28994.009765625,2153473433571
2021-02-01 00:00:00+00:00,45137.76953125,45137.76953125,58330.5703125,32384.228515625,33114.578125,2267152936675
2021-03-01 00:00:00+00:00,58918.83203125,58918.83203125,61683.86328125,45115.09375,45159.50390625,1681184264687
2021-04-01 00:00:00+00:00,57750.17578125,57750.17578125,64863.09765625,47159.484375,58926.5625,1844481772417
2021-05-01 00:00:00+00:00,37332.85546875,37332.85546875,59519.35546875,30681.49609375,57714.6640625,1976593438572
2021-06-01 00:00:00+00:00,35040.8359375,35040.8359375,41295.26953125,28893.62109375,37293.79296875,1189647451707
2021-07-01 00:00:00+00:00,41626.1953125,41626.1953125,42235.546875,29360.955078125,35035.984375,819103381204
2021-08-01 00:00:00+00:00,47166.6875,47166.6875,50482.078125,37458.00390625,41460.84375,1014674184428
2021-09-01 00:00:00+00:00,43790.89453125,43790.89453125,52853.765625,39787.609375,47099.7734375,1102139678824
2021-10-01 00:00:00+00:00,61318.95703125,61318.95703125,66930.390625,43320.0234375,43816.7421875,1153077903534
2021-11-01 00:00:00+00:00,57005.42578125,57005.42578125,68789.625,53569.765625,61320.44921875,1053270271383
2021-12-01 00:00:00+00:00,46306.4453125,46306.4453125,59041.68359375,42874.6171875,56907.96484375,957047184722
2022-01-01 00:00:00+00:00,38483.125,38483.125,47881.40625,33184.05859375,46311.74609375,923979037681
2022-02-01 00:00:00+00:00,43193.234375,43193.234375,45661.171875,34459.21875,38481.765625,671335993325
2022-03-01 00:00:00+00:00,45538.67578125,45538.67578125,48086.8359375,37260.203125,43194.50390625,830943838435
2022-04-01 00:00:00+00:00,37714.875,37714.875,47313.4765625,37697.94140625,45554.1640625,830115888649
2022-05-01 00:00:00+00:00,31792.310546875,31792.310546875,39902.94921875,26350.490234375,37713.265625,1105689315990
2022-06-01 00:00:00+00:00,19784.7265625,19784.7265625,31957.28515625,17708.623046875,31792.5546875,923939211678
2022-07-01 00:00:00+00:00,23336.896484375,23336.896484375,24572.580078125,18966.951171875,19820.470703125,927582363389
2022-08-01 00:00:00+00:00,20049.763671875,20049.763671875,25135.58984375,19600.78515625,23336.71875,894192654543
2022-09-01 00:00:00+00:00,19431.7890625,19431.7890625,22673.8203125,18290.314453125,20050.498046875,1123272250385
2022-10-01 00:00:00+00:00,20495.7734375,20495.7734375,20988.39453125,18319.822265625,19431.10546875,957903424925
2022-11-01 00:00:00+00:00,17168.56640625,17168.56640625,21446.88671875,15599.046875,20494.8984375,1224531549126
2022-12-01 00:00:00+00:00,16547.49609375,16547.49609375,18318.53125,16398.13671875,17168.001953125,541356716034
2023-01-01 00:00:00+00:00,23139.283203125,23139.283203125,23919.890625,16521.234375,16547.9140625,690994018045
2023-02-01 00:00:00+00:00,23147.353515625,23147.353515625,25134.1171875,21460.087890625,23137.8359375,723968574897
2023-03-01 00:00:00+00:00,28478.484375,28478.484375,29159.90234375,19628.25390625,23150.9296875,883299703608
2023-04-01 00:00:00+00:00,29268.806640625,29268.806640625,31005.607421875,27070.849609375,28473.33203125,511540319004
2023-05-01 00:00:00+00:00,27219.658203125,27219.658203125,29820.126953125,25878.4296875,29227.103515625,443473015479
2023-06-01 00:00:00+00:00,30477.251953125,30477.251953125,31389.5390625,24797.16796875,27218.412109375,481734214225
2023-07-01 00:00:00+00:00,29230.111328125,29230.111328125,31814.515625,28934.294921875,30471.84765625,382224489090
2023-08-01 00:00:00+00:00,25931.47265625,25931.47265625,30176.796875,25409.111328125,29230.873046875,437724169499
2023-09-01 00:00:00+00:00,26967.916015625,26967.916015625,27488.763671875,24930.296875,25934.021484375,337637313742
2023-10-01 00:00:00+00:00,34667.78125,34667.78125,35150.43359375,26558.3203125,26967.396484375,476425634860
2023-11-01 00:00:00+00:00,37712.74609375,37712.74609375,38415.33984375,34133.44140625,34657.2734375,570863267380
2023-12-01 00:00:00+00:00,42265.1875,42265.1875,44705.515625,37629.359375,37718.0078125,721704910480
2024-01-01 00:00:00+00:00,42582.60546875,42582.60546875,48969.37109375,38521.89453125,42280.234375,825918941347
2024-02-01 00:00:00+00:00,61198.3828125,61198.3828125,63913.1328125,41879.19140625,42569.76171875,830721862621
2024-03-01 00:00:00+00:00,71333.6484375,71333.6484375,73750.0703125,59323.91015625,61168.0625,1446417844950
2024-04-01 00:00:00+00:00,60636.85546875,60636.85546875,72715.359375,59120.06640625,71333.484375,1016068331704
2024-05-01 00:00:00+00:00,67491.4140625,67491.4140625,71946.4609375,56555.29296875,60609.49609375,874291509757
2024-06-01 00:00:00+00:00,62678.29296875,62678.29296875,71907.8515625,58601.69921875,67489.609375,726773965644
2024-07-01 00:00:00+00:00,64619.25,64619.25,69987.5390625,53717.375,62673.60546875,953395573307
2024-08-01 00:00:00+00:00,58969.8984375,58969.8984375,65593.2421875,49121.23828125,64625.83984375,1043105485208
2024-09-01 00:00:00+00:00,63329.5,63329.5,66480.6953125,52598.69921875,58969.80078125,879117914822
